Month,Day,variable,value
5,1,Ozone,41.0
5,2,Ozone,36.0
5,3,Ozone,12.0
5,4,Ozone,18.0
5,5,Ozone,
5,6,Ozone,28.0
5,7,Ozone,23.0
5,8,Ozone,19.0
5,9,Ozone,8.0
5,10,Ozone,
5,11,Ozone,7.0
5,12,Ozone,16.0
5,13,Ozone,11.0
5,14,Ozone,14.0
5,15,Ozone,18.0
5,16,Ozone,14.0
5,17,Ozone,34.0
5,18,Ozone,6.0
5,19,Ozone,30.0
5,20,Ozone,11.0
5,21,Ozone,1.0
5,22,Ozone,11.0
5,23,Ozone,4.0
5,24,Ozone,32.0
5,25,Ozone,
5,26,Ozone,
5,27,Ozone,
5,28,Ozone,23.0
5,29,Ozone,45.0
5,30,Ozone,115.0
5,31,Ozone,37.0
6,1,Ozone,
6,2,Ozone,
6,3,Ozone,
6,4,Ozone,
6,5,Ozone,
6,6,Ozone,
6,7,Ozone,29.0
6,8,Ozone,
6,9,Ozone,71.0
6,10,Ozone,39.0
6,11,Ozone,
6,12,Ozone,
6,13,Ozone,23.0
6,14,Ozone,
6,15,Ozone,
6,16,Ozone,21.0
6,17,Ozone,37.0
6,18,Ozone,20.0
6,19,Ozone,12.0
6,20,Ozone,13.0
6,21,Ozone,
6,22,Ozone,
6,23,Ozone,
6,24,Ozone,
6,25,Ozone,
6,26,Ozone,
6,27,Ozone,
6,28,Ozone,
6,29,Ozone,
6,30,Ozone,
7,1,Ozone,135.0
7,2,Ozone,49.0
7,3,Ozone,32.0
7,4,Ozone,
7,5,Ozone,64.0
7,6,Ozone,40.0
7,7,Ozone,77.0
7,8,Ozone,97.0
7,9,Ozone,97.0
7,10,Ozone,85.0
7,11,Ozone,
7,12,Ozone,10.0
7,13,Ozone,27.0
7,14,Ozone,
7,15,Ozone,7.0
7,16,Ozone,48.0
7,17,Ozone,35.0
7,18,Ozone,61.0
7,19,Ozone,79.0
7,20,Ozone,63.0
7,21,Ozone,16.0
7,22,Ozone,
7,23,Ozone,
7,24,Ozone,80.0
7,25,Ozone,108.0
7,26,Ozone,20.0
7,27,Ozone,52.0
7,28,Ozone,82.0
7,29,Ozone,50.0
7,30,Ozone,64.0
7,31,Ozone,59.0
8,1,Ozone,39.0
8,2,Ozone,9.0
8,3,Ozone,16.0
8,4,Ozone,78.0
8,5,Ozone,35.0
8,6,Ozone,66.0
8,7,Ozone,122.0
8,8,Ozone,89.0
8,9,Ozone,110.0
8,10,Ozone,
8,11,Ozone,
8,12,Ozone,44.0
8,13,Ozone,28.0
8,14,Ozone,65.0
8,15,Ozone,
8,16,Ozone,22.0
8,17,Ozone,59.0
8,18,Ozone,23.0
8,19,Ozone,31.0
8,20,Ozone,44.0
8,21,Ozone,21.0
8,22,Ozone,9.0
8,23,Ozone,
8,24,Ozone,45.0
8,25,Ozone,168.0
8,26,Ozone,73.0
8,27,Ozone,
8,28,Ozone,76.0
8,29,Ozone,118.0
8,30,Ozone,84.0
8,31,Ozone,85.0
9,1,Ozone,96.0
9,2,Ozone,78.0
9,3,Ozone,73.0
9,4,Ozone,91.0
9,5,Ozone,47.0
9,6,Ozone,32.0
9,7,Ozone,20.0
9,8,Ozone,23.0
9,9,Ozone,21.0
9,10,Ozone,24.0
9,11,Ozone,44.0
9,12,Ozone,21.0
9,13,Ozone,28.0
9,14,Ozone,9.0
9,15,Ozone,13.0
9,16,Ozone,46.0
9,17,Ozone,18.0
9,18,Ozone,13.0
9,19,Ozone,24.0
9,20,Ozone,16.0
9,21,Ozone,13.0
9,22,Ozone,23.0
9,23,Ozone,36.0
9,24,Ozone,7.0
9,25,Ozone,14.0
9,26,Ozone,30.0
9,27,Ozone,
9,28,Ozone,14.0
9,29,Ozone,18.0
9,30,Ozone,20.0
5,1,Solar.R,190.0
5,2,Solar.R,118.0
5,3,Solar.R,149.0
5,4,Solar.R,313.0
5,5,Solar.R,
5,6,Solar.R,
5,7,Solar.R,299.0
5,8,Solar.R,99.0
5,9,Solar.R,19.0
5,10,Solar.R,194.0
5,11,Solar.R,
5,12,Solar.R,256.0
5,13,Solar.R,290.0
5,14,Solar.R,274.0
5,15,Solar.R,65.0
5,16,Solar.R,334.0
5,17,Solar.R,307.0
5,18,Solar.R,78.0
5,19,Solar.R,322.0
5,20,Solar.R,44.0
5,21,Solar.R,8.0
5,22,Solar.R,320.0
5,23,Solar.R,25.0
5,24,Solar.R,92.0
5,25,Solar.R,66.0
5,26,Solar.R,266.0
5,27,Solar.R,
5,28,Solar.R,13.0
5,29,Solar.R,252.0
5,30,Solar.R,223.0
5,31,Solar.R,279.0
6,1,Solar.R,286.0
6,2,Solar.R,287.0
6,3,Solar.R,242.0
6,4,Solar.R,186.0
6,5,Solar.R,220.0
6,6,Solar.R,264.0
6,7,Solar.R,127.0
6,8,Solar.R,273.0
6,9,Solar.R,291.0
6,10,Solar.R,323.0
6,11,Solar.R,259.0
6,12,Solar.R,250.0
6,13,Solar.R,148.0
6,14,Solar.R,332.0
6,15,Solar.R,322.0
6,16,Solar.R,191.0
6,17,Solar.R,284.0
6,18,Solar.R,37.0
6,19,Solar.R,120.0
6,20,Solar.R,137.0
6,21,Solar.R,150.0
6,22,Solar.R,59.0
6,23,Solar.R,91.0
6,24,Solar.R,250.0
6,25,Solar.R,135.0
6,26,Solar.R,127.0
6,27,Solar.R,47.0
6,28,Solar.R,98.0
6,29,Solar.R,31.0
6,30,Solar.R,138.0
7,1,Solar.R,269.0
7,2,Solar.R,248.0
7,3,Solar.R,236.0
7,4,Solar.R,101.0
7,5,Solar.R,175.0
7,6,Solar.R,314.0
7,7,Solar.R,276.0
7,8,Solar.R,267.0
7,9,Solar.R,272.0
7,10,Solar.R,175.0
7,11,Solar.R,139.0
7,12,Solar.R,264.0
7,13,Solar.R,175.0
7,14,Solar.R,291.0
7,15,Solar.R,48.0
7,16,Solar.R,260.0
7,17,Solar.R,274.0
7,18,Solar.R,285.0
7,19,Solar.R,187.0
7,20,Solar.R,220.0
7,21,Solar.R,7.0
7,22,Solar.R,258.0
7,23,Solar.R,295.0
7,24,Solar.R,294.0
7,25,Solar.R,223.0
7,26,Solar.R,81.0
7,27,Solar.R,82.0
7,28,Solar.R,213.0
7,29,Solar.R,275.0
7,30,Solar.R,253.0
7,31,Solar.R,254.0
8,1,Solar.R,83.0
8,2,Solar.R,24.0
8,3,Solar.R,77.0
8,4,Solar.R,
8,5,Solar.R,
8,6,Solar.R,
8,7,Solar.R,255.0
8,8,Solar.R,229.0
8,9,Solar.R,207.0
8,10,Solar.R,222.0
8,11,Solar.R,137.0
8,12,Solar.R,192.0
8,13,Solar.R,273.0
8,14,Solar.R,157.0
8,15,Solar.R,64.0
8,16,Solar.R,71.0
8,17,Solar.R,51.0
8,18,Solar.R,115.0
8,19,Solar.R,244.0
8,20,Solar.R,190.0
8,21,Solar.R,259.0
8,22,Solar.R,36.0
8,23,Solar.R,255.0
8,24,Solar.R,212.0
8,25,Solar.R,238.0
8,26,Solar.R,215.0
8,27,Solar.R,153.0
8,28,Solar.R,203.0
8,29,Solar.R,225.0
8,30,Solar.R,237.0
8,31,Solar.R,188.0
9,1,Solar.R,167.0
9,2,Solar.R,197.0
9,3,Solar.R,183.0
9,4,Solar.R,189.0
9,5,Solar.R,95.0
9,6,Solar.R,92.0
9,7,Solar.R,252.0
9,8,Solar.R,220.0
9,9,Solar.R,230.0
9,10,Solar.R,259.0
9,11,Solar.R,236.0
9,12,Solar.R,259.0
9,13,Solar.R,238.0
9,14,Solar.R,24.0
9,15,Solar.R,112.0
9,16,Solar.R,237.0
9,17,Solar.R,224.0
9,18,Solar.R,27.0
9,19,Solar.R,238.0
9,20,Solar.R,201.0
9,21,Solar.R,238.0
9,22,Solar.R,14.0
9,23,Solar.R,139.0
9,24,Solar.R,49.0
9,25,Solar.R,20.0
9,26,Solar.R,193.0
9,27,Solar.R,145.0
9,28,Solar.R,191.0
9,29,Solar.R,131.0
9,30,Solar.R,223.0
5,1,Wind,7.4
5,2,Wind,8.0
5,3,Wind,12.6
5,4,Wind,11.5
5,5,Wind,14.3
5,6,Wind,14.9
5,7,Wind,8.6
5,8,Wind,13.8
5,9,Wind,20.1
5,10,Wind,8.6
5,11,Wind,6.9
5,12,Wind,9.7
5,13,Wind,9.2
5,14,Wind,10.9
5,15,Wind,13.2
5,16,Wind,11.5
5,17,Wind,12.0
5,18,Wind,18.4
5,19,Wind,11.5
5,20,Wind,9.7
5,21,Wind,9.7
5,22,Wind,16.6
5,23,Wind,9.7
5,24,Wind,12.0
5,25,Wind,16.6
5,26,Wind,14.9
5,27,Wind,8.0
5,28,Wind,12.0
5,29,Wind,14.9
5,30,Wind,5.7
5,31,Wind,7.4
6,1,Wind,8.6
6,2,Wind,9.7
6,3,Wind,16.1
6,4,Wind,9.2
6,5,Wind,8.6
6,6,Wind,14.3
6,7,Wind,9.7
6,8,Wind,6.9
6,9,Wind,13.8
6,10,Wind,11.5
6,11,Wind,10.9
6,12,Wind,9.2
6,13,Wind,8.0
6,14,Wind,13.8
6,15,Wind,11.5
6,16,Wind,14.9
6,17,Wind,20.7
6,18,Wind,9.2
6,19,Wind,11.5
6,20,Wind,10.3
6,21,Wind,6.3
6,22,Wind,1.7
6,23,Wind,4.6
6,24,Wind,6.3
6,25,Wind,8.0
6,26,Wind,8.0
6,27,Wind,10.3
6,28,Wind,11.5
6,29,Wind,14.9
6,30,Wind,8.0
7,1,Wind,4.1
7,2,Wind,9.2
7,3,Wind,9.2
7,4,Wind,10.9
7,5,Wind,4.6
7,6,Wind,10.9
7,7,Wind,5.1
7,8,Wind,6.3
7,9,Wind,5.7
7,10,Wind,7.4
7,11,Wind,8.6
7,12,Wind,14.3
7,13,Wind,14.9
7,14,Wind,14.9
7,15,Wind,14.3
7,16,Wind,6.9
7,17,Wind,10.3
7,18,Wind,6.3
7,19,Wind,5.1
7,20,Wind,11.5
7,21,Wind,6.9
7,22,Wind,9.7
7,23,Wind,11.5
7,24,Wind,8.6
7,25,Wind,8.0
7,26,Wind,8.6
7,27,Wind,12.0
7,28,Wind,7.4
7,29,Wind,7.4
7,30,Wind,7.4
7,31,Wind,9.2
8,1,Wind,6.9
8,2,Wind,13.8
8,3,Wind,7.4
8,4,Wind,6.9
8,5,Wind,7.4
8,6,Wind,4.6
8,7,Wind,4.0
8,8,Wind,10.3
8,9,Wind,8.0
8,10,Wind,8.6
8,11,Wind,11.5
8,12,Wind,11.5
8,13,Wind,11.5
8,14,Wind,9.7
8,15,Wind,11.5
8,16,Wind,10.3
8,17,Wind,6.3
8,18,Wind,7.4
8,19,Wind,10.9
