,Wban,date,Time,StationType,sky_condition,visibility,dry_bulb_faren,dry_bulb_cel,wet_bulb_faren,wet_bulb_cel,dew_point_faren,dew_point_cel,relative_humidity,wind_speed,wind_direction,station_pressure,sea_level_pressure
2011-01-01 01:53:00,13904,20110101,0153,12,OVC049,10.00,51.0,10.6,37,3.0,14.0,-10.0, 23,10.0,340,29.49,30.01
2011-01-01 02:53:00,13904,20110101,0253,12,OVC060,10.00,51.0,10.6,37,2.9,13.0,-10.6, 22,15.0,010,29.49,30.01
2011-01-01 03:53:00,13904,20110101,0353,12,OVC065,10.00,50.0,10.0,38,3.1,17.0,-8.3, 27,7.0,350,29.51,30.03
2011-01-01 04:53:00,13904,20110101,0453,12,BKN070,10.00,50.0,10.0,37,2.8,15.0,-9.4, 25,11.0,020,29.51,30.04
2011-01-01 05:53:00,13904,20110101,0553,12,BKN065,10.00,49.0,9.4,37,2.8,17.0,-8.3, 28,6.0,010,29.53,30.06
2011-01-01 06:53:00,13904,20110101,0653,12,BKN065,10.00,48.0,8.9,37,2.5,17.0,-8.3, 29,7.0,360,29.57,30.10
2011-01-01 07:53:00,13904,20110101,0753,12,SCT060,10.00,48.0,8.9,37,2.5,17.0,-8.3, 29,11.0,020,29.59,30.12
2011-01-01 08:53:00,13904,20110101,0853,12,FEW060,10.00,51.0,10.6,38,3.3,16.0,-8.9, 25,15.0,020,29.62,30.16
2011-01-01 09:53:00,13904,20110101,0953,12,FEW060,10.00,54.0,12.2,40,4.2,16.0,-8.9, 22,18.0,010,29.65,30.19
2011-01-01 10:53:00,13904,20110101,1053,12,FEW060,10.00,56.0,13.3,41,4.9,17.0,-8.3, 22,15.0,030,29.66,30.20
2011-01-01 11:53:00,13904,20110101,1153,12,FEW060,10.00,57.0,13.9,42,5.4,19.0,-7.2, 23,14.0,010,29.66,30.20
2011-01-01 12:53:00,13904,20110101,1253,12,FEW250,10.00,59.0,15.0,44,6.4,22.0,-5.6, 24,14.0,020,29.65,30.18
2011-01-01 13:53:00,13904,20110101,1353,12,CLR,10.00,59.0,15.0,45,7.0,26.0,-3.3, 28,14.0,010,29.63,30.16
2011-01-01 14:53:00,13904,20110101,1453,12,CLR,10.00,59.0,15.0,45,7.2,27.0,-2.8, 29,16.0,360,29.63,30.16
2011-01-01 15:53:00,13904,20110101,1553,12,CLR,10.00,57.0,13.9,44,6.6,27.0,-2.8, 32,11.0,350,29.63,30.17
