Edition,NOC,Change
1896,AFG,
1900,AFG,
1904,AFG,
1908,AFG,
1912,AFG,
1920,AFG,
1924,AFG,
1928,AFG,
1932,AFG,
1936,AFG,
1948,AFG,
1952,AFG,
1956,AFG,
1960,AFG,
1964,AFG,
1968,AFG,
1972,AFG,
1976,AFG,
1980,AFG,
1984,AFG,
1988,AFG,
1992,AFG,
1996,AFG,
2000,AFG,
2004,AFG,
2008,AFG,
1896,AHO,
1900,AHO,
1904,AHO,
1908,AHO,
1912,AHO,
1920,AHO,
1924,AHO,
1928,AHO,
1932,AHO,
1936,AHO,
1948,AHO,
1952,AHO,
1956,AHO,
1960,AHO,
1964,AHO,
1968,AHO,
1972,AHO,
1976,AHO,
1980,AHO,
1984,AHO,
1988,AHO,
1992,AHO,0.0
1996,AHO,0.0
2000,AHO,0.0
2004,AHO,0.0
2008,AHO,0.0
1896,ALG,
1900,ALG,
1904,ALG,
1908,ALG,
1912,ALG,
1920,ALG,
1924,ALG,
1928,ALG,
1932,ALG,
1936,ALG,
1948,ALG,
1952,ALG,
1956,ALG,
1960,ALG,
1964,ALG,
1968,ALG,
1972,ALG,
1976,ALG,
1980,ALG,
1984,ALG,
1988,ALG,0.0
1992,ALG,-7.2140762463343115
1996,ALG,8.959210746140634
2000,ALG,19.762487649231897
2004,ALG,0.0
2008,ALG,-8.197807420735115
1896,ANZ,
1900,ANZ,
1904,ANZ,
1908,ANZ,
1912,ANZ,-26.092774308653
1920,ANZ,0.0
1924,ANZ,0.0
1928,ANZ,0.0
1932,ANZ,0.0
1936,ANZ,0.0
1948,ANZ,0.0
1952,ANZ,0.0
1956,ANZ,0.0
1960,ANZ,0.0
1964,ANZ,0.0
1968,ANZ,0.0
1972,ANZ,0.0
1976,ANZ,0.0
1980,ANZ,0.0
1984,ANZ,0.0
1988,ANZ,0.0
1992,ANZ,0.0
1996,ANZ,0.0
2000,ANZ,0.0
2004,ANZ,0.0
2008,ANZ,0.0
1896,ARG,
1900,ARG,
1904,ARG,
1908,ARG,
1912,ARG,
1920,ARG,
1924,ARG,
1928,ARG,131.10115236875802
1932,ARG,-25.79420580620565
1936,ARG,-10.271982481249841
1948,ARG,-4.601500059414477
1952,ARG,-10.50854490084767
1956,ARG,-12.310759541174443
1960,ARG,-8.545208662086324
1964,ARG,-10.271937518971086
1968,ARG,-8.350855418365388
1972,ARG,-8.379289410158396
1976,ARG,0.0
1980,ARG,0.0
1984,ARG,0.0
1988,ARG,-1.238896161102454
1992,ARG,-6.767307857883953
1996,ARG,1.3066959716358406
2000,ARG,0.5151895272065943
2004,ARG,9.62536481517895
2008,ARG,8.588555246104445
1896,ARM,
1900,ARM,
1904,ARM,
1908,ARM,
1912,ARM,
1920,ARM,
1924,ARM,
1928,ARM,
1932,ARM,
1936,ARM,
1948,ARM,
1952,ARM,
1956,ARM,
1960,ARM,
1964,ARM,
1968,ARM,
1972,ARM,
1976,ARM,
1980,ARM,
1984,ARM,
1988,ARM,
1992,ARM,
1996,ARM,
2000,ARM,-26.935483870967737
2004,ARM,0.0
2008,ARM,91.2664076469202
1896,AUS,
1900,AUS,-13.13476562500001
1904,AUS,0.0
1908,AUS,0.0
1912,AUS,0.0
